ADC Channel - Charge distribution	Counts - Charge distribution
-64,5	1
-60,5	1
-59,5	1
-58,5	6
-57,5	5
-56,5	3
-55,5	7
-54,5	2
-53,5	12
-52,5	12
-51,5	23
-50,5	29
-49,5	30
-48,5	41
-47,5	84
-46,5	92
-45,5	136
-44,5	155
-43,5	230
-42,5	293
-41,5	328
-40,5	495
-39,5	615
-38,5	719
-37,5	1000
-36,5	1291
-35,5	1541
-34,5	2047
-33,5	2450
-32,5	2998
-31,5	3773
-30,5	4503
-29,5	5370
-28,5	6515
-27,5	7983
-26,5	9638
-25,5	11415
-24,5	13804
-23,5	16344
-22,5	18924
-21,5	22237
-20,5	25910
-19,5	29960
-18,5	35144
-17,5	41096
-16,5	46955
-15,5	54176
-14,5	61397
-13,5	70302
-12,5	79360
-11,5	89252
-10,5	99982
-9,5	110720
-8,5	121649
-7,5	132602
-6,5	144360
-5,5	154126
-4,5	163666
-3,5	172221
-2,5	179513
-1,5	185109
-0,5	188918
0,5	190019
1,5	189391
2,5	187758
3,5	182915
4,5	176818
5,5	168873
6,5	160423
7,5	150383
8,5	139564
9,5	127893
10,5	116964
11,5	105786
12,5	95317
13,5	84456
14,5	74979
15,5	65695
16,5	57498
17,5	49999
18,5	42788
19,5	37257
20,5	31536
21,5	27485
22,5	23100
23,5	19128
24,5	16416
25,5	13857
26,5	11620
27,5	9516
28,5	7869
29,5	6467
30,5	5427
31,5	4334
32,5	3688
33,5	3016
34,5	2412
35,5	1943
36,5	1619
37,5	1300
38,5	1100
39,5	900
40,5	754
41,5	668
42,5	576
43,5	511
44,5	452
45,5	446
46,5	387
47,5	374
48,5	387
49,5	367
50,5	360
51,5	385
52,5	357
53,5	335
54,5	381
55,5	381
56,5	390
57,5	380
58,5	410
59,5	418
60,5	429
61,5	397
62,5	459
63,5	456
64,5	498
65,5	476
66,5	531
67,5	556
68,5	518
69,5	591
70,5	594
71,5	653
72,5	645
73,5	671
74,5	709
75,5	792
76,5	777
77,5	835
78,5	871
79,5	918
80,5	873
81,5	863
82,5	920
83,5	910
84,5	938
85,5	967
86,5	893
87,5	888
88,5	838
89,5	843
90,5	867
91,5	789
92,5	744
93,5	710
94,5	671
95,5	620
96,5	598
97,5	515
98,5	502
99,5	445
100,5	376
101,5	353
102,5	290
103,5	282
104,5	243
105,5	231
106,5	183
107,5	150
108,5	132
109,5	124
110,5	116
111,5	104
112,5	81
113,5	65
114,5	62
115,5	61
116,5	55
117,5	50
118,5	31
119,5	45
120,5	29
121,5	28
122,5	24
123,5	11
124,5	24
125,5	17
126,5	16
127,5	13
128,5	16
129,5	21
130,5	18
131,5	8
132,5	14
133,5	10
134,5	10
135,5	15
136,5	10
137,5	6
138,5	7
139,5	11
140,5	8
141,5	9
142,5	5
143,5	6
144,5	11
145,5	8
146,5	8
147,5	10
148,5	10
149,5	12
150,5	9
151,5	3
152,5	11
153,5	3
154,5	8
155,5	8
156,5	14
157,5	6
158,5	5
159,5	11
160,5	18
161,5	12
162,5	9
163,5	13
164,5	7
165,5	12
166,5	3
167,5	10
168,5	12
169,5	9
170,5	11
171,5	5
172,5	5
173,5	10
174,5	10
175,5	10
176,5	12
177,5	6
178,5	11
179,5	5
180,5	5
181,5	8
182,5	8
183,5	7
184,5	5
185,5	4
186,5	5
187,5	3
188,5	5
189,5	5
190,5	1
191,5	2
192,5	2
193,5	2
196,5	5
198,5	3
199,5	2
201,5	1
202,5	1
203,5	1
205,5	1
206,5	2
207,5	2
209,5	1
211,5	1
212,5	1
215,5	2
218,5	1
220,5	2
230,5	1
242,5	1
258,5	1
261,5	1
275,5	1
291,5	1
