ADC Channel - Charge distribution	Counts - Charge distribution
-67,5	1
-63,5	1
-61,5	2
-59,5	1
-58,5	1
-57,5	6
-56,5	9
-55,5	9
-54,5	20
-53,5	12
-52,5	22
-51,5	39
-50,5	39
-49,5	76
-48,5	80
-47,5	90
-46,5	125
-45,5	158
-44,5	227
-43,5	263
-42,5	391
-41,5	521
-40,5	601
-39,5	797
-38,5	1046
-37,5	1142
-36,5	1526
-35,5	2043
-34,5	2439
-33,5	2912
-32,5	3599
-31,5	4306
-30,5	5206
-29,5	6258
-28,5	7542
-27,5	9118
-26,5	10673
-25,5	12679
-24,5	14913
-23,5	17364
-22,5	20375
-21,5	23981
-20,5	27521
-19,5	31627
-18,5	36156
-17,5	42108
-16,5	47956
-15,5	54935
-14,5	62081
-13,5	70348
-12,5	79284
-11,5	87982
-10,5	98662
-9,5	108095
-8,5	118271
-7,5	128964
-6,5	139341
-5,5	148722
-4,5	157673
-3,5	165533
-2,5	171573
-1,5	177584
-0,5	180751
0,5	182791
1,5	182433
2,5	180142
3,5	176340
4,5	171304
5,5	163865
6,5	155896
7,5	146480
8,5	137264
9,5	126321
10,5	115722
11,5	105077
12,5	94909
13,5	84554
14,5	75398
15,5	66560
16,5	58156
17,5	51295
18,5	44482
19,5	38853
20,5	33198
21,5	28492
22,5	24622
23,5	20922
24,5	17995
25,5	14990
26,5	12541
27,5	10464
28,5	8685
29,5	7308
30,5	6060
31,5	5025
32,5	4283
33,5	3543
34,5	2889
35,5	2312
36,5	2029
37,5	1657
38,5	1373
39,5	1127
40,5	943
41,5	855
42,5	705
43,5	692
44,5	553
45,5	545
46,5	475
47,5	490
48,5	462
49,5	398
50,5	398
51,5	381
52,5	414
53,5	360
54,5	355
55,5	361
56,5	362
57,5	334
58,5	342
59,5	326
60,5	339
61,5	304
62,5	356
63,5	323
64,5	331
65,5	312
66,5	289
67,5	307
68,5	276
69,5	280
70,5	267
71,5	307
72,5	260
73,5	287
74,5	283
75,5	267
76,5	251
77,5	284
78,5	271
79,5	298
80,5	295
81,5	285
82,5	289
83,5	271
84,5	253
85,5	277
86,5	279
87,5	304
88,5	270
89,5	279
90,5	283
91,5	272
92,5	252
93,5	254
94,5	247
95,5	268
96,5	259
97,5	258
98,5	262
99,5	236
100,5	241
101,5	240
102,5	235
103,5	224
104,5	237
105,5	228
106,5	235
107,5	250
108,5	248
109,5	224
110,5	259
111,5	227
112,5	267
113,5	240
114,5	248
115,5	252
116,5	253
117,5	250
118,5	249
119,5	264
120,5	241
121,5	260
122,5	259
123,5	276
124,5	264
125,5	285
126,5	244
127,5	237
128,5	243
129,5	263
130,5	256
131,5	257
132,5	266
133,5	252
134,5	251
135,5	266
136,5	263
137,5	254
138,5	269
139,5	228
140,5	274
141,5	258
142,5	288
143,5	246
144,5	279
145,5	264
146,5	260
147,5	281
148,5	273
149,5	290
150,5	277
151,5	304
152,5	301
153,5	280
154,5	274
155,5	302
156,5	288
157,5	331
158,5	314
159,5	315
160,5	319
161,5	315
162,5	328
163,5	361
164,5	331
165,5	343
166,5	368
167,5	367
168,5	387
169,5	418
170,5	406
171,5	372
172,5	406
173,5	392
174,5	452
175,5	460
176,5	459
177,5	492
178,5	470
179,5	473
180,5	509
181,5	488
182,5	562
183,5	579
184,5	600
185,5	619
186,5	688
187,5	692
188,5	715
189,5	750
190,5	777
191,5	817
192,5	835
193,5	866
194,5	891
195,5	953
196,5	925
197,5	957
198,5	1073
199,5	1056
200,5	1122
201,5	1153
202,5	1149
203,5	1132
204,5	1158
205,5	1150
206,5	1222
207,5	1180
208,5	1202
209,5	1117
210,5	1115
211,5	1074
212,5	1023
213,5	1119
214,5	1012
215,5	1000
216,5	923
217,5	861
218,5	875
219,5	827
220,5	710
221,5	726
222,5	673
223,5	597
224,5	512
225,5	530
226,5	475
227,5	419
228,5	390
229,5	357
230,5	344
231,5	309
232,5	279
233,5	254
234,5	196
235,5	202
236,5	171
237,5	182
238,5	174
239,5	157
240,5	135
241,5	131
242,5	99
243,5	123
244,5	112
245,5	98
246,5	111
247,5	104
248,5	104
249,5	80
250,5	85
251,5	100
252,5	92
253,5	82
254,5	69
255,5	87
256,5	80
257,5	75
258,5	78
259,5	87
260,5	84
261,5	83
262,5	81
263,5	66
264,5	57
265,5	61
266,5	85
267,5	88
268,5	84
269,5	75
270,5	63
271,5	50
272,5	72
273,5	68
274,5	65
275,5	75
276,5	63
277,5	82
278,5	54
279,5	78
280,5	66
281,5	84
282,5	51
283,5	46
284,5	63
285,5	65
286,5	75
287,5	52
288,5	75
289,5	57
290,5	60
291,5	57
292,5	61
293,5	59
294,5	49
295,5	50
296,5	60
297,5	48
298,5	53
299,5	54
300,5	49
301,5	56
302,5	52
303,5	50
304,5	52
305,5	53
306,5	52
307,5	49
308,5	36
309,5	55
310,5	43
311,5	46
312,5	56
313,5	41
314,5	43
315,5	56
316,5	47
317,5	40
318,5	38
319,5	56
320,5	35
321,5	73
322,5	56
323,5	35
324,5	46
325,5	56
326,5	32
327,5	41
328,5	34
329,5	30
330,5	36
331,5	39
332,5	38
333,5	33
334,5	42
335,5	40
336,5	32
337,5	27
338,5	43
339,5	43
340,5	41
341,5	32
342,5	33
343,5	39
344,5	29
345,5	47
346,5	35
347,5	28
348,5	32
349,5	29
350,5	37
351,5	29
352,5	44
353,5	36
354,5	29
355,5	36
356,5	28
357,5	29
358,5	32
359,5	39
360,5	24
361,5	29
362,5	31
363,5	26
364,5	31
365,5	33
366,5	29
367,5	32
368,5	38
369,5	28
370,5	31
371,5	30
372,5	31
373,5	30
374,5	38
375,5	26
376,5	32
377,5	42
378,5	36
379,5	25
380,5	32
381,5	36
382,5	40
383,5	31
384,5	24
385,5	45
386,5	38
387,5	31
388,5	40
389,5	28
390,5	37
391,5	44
392,5	41
393,5	51
394,5	44
395,5	34
396,5	36
397,5	40
398,5	32
399,5	35
400,5	46
401,5	40
402,5	45
403,5	52
404,5	44
405,5	38
406,5	53
407,5	53
408,5	47
409,5	51
410,5	52
411,5	53
412,5	53
413,5	54
414,5	50
415,5	52
416,5	48
417,5	58
418,5	43
419,5	59
420,5	49
421,5	51
422,5	51
423,5	50
424,5	51
425,5	44
426,5	37
427,5	39
428,5	51
429,5	37
430,5	40
431,5	40
432,5	34
433,5	36
434,5	37
435,5	37
436,5	28
437,5	28
438,5	29
439,5	29
440,5	26
441,5	25
442,5	17
443,5	28
444,5	17
445,5	12
446,5	17
447,5	13
448,5	15
449,5	8
450,5	16
451,5	14
452,5	10
453,5	9
454,5	17
455,5	14
456,5	11
457,5	7
458,5	9
459,5	14
460,5	9
461,5	9
462,5	9
463,5	10
464,5	5
465,5	14
466,5	10
467,5	9
468,5	14
469,5	10
470,5	7
471,5	7
472,5	11
473,5	13
474,5	7
475,5	7
476,5	15
477,5	3
478,5	4
479,5	6
480,5	7
481,5	9
482,5	11
483,5	15
484,5	10
485,5	5
486,5	7
487,5	6
488,5	7
489,5	12
490,5	4
491,5	6
492,5	11
493,5	10
494,5	10
495,5	11
496,5	8
497,5	3
498,5	15
499,5	7
500,5	3
501,5	8
502,5	10
503,5	3
504,5	3
505,5	8
506,5	3
507,5	4
508,5	4
509,5	3
510,5	10
511,5	7
512,5	5
513,5	8
514,5	6
515,5	4
516,5	4
517,5	5
518,5	2
519,5	7
520,5	5
521,5	8
522,5	6
523,5	4
524,5	4
525,5	3
526,5	2
527,5	5
528,5	7
529,5	9
530,5	4
531,5	7
532,5	4
533,5	2
534,5	2
535,5	5
536,5	3
537,5	4
538,5	6
539,5	2
540,5	8
541,5	3
542,5	3
543,5	8
544,5	3
545,5	5
546,5	4
547,5	4
548,5	5
549,5	6
550,5	4
552,5	8
553,5	3
554,5	6
555,5	4
556,5	5
557,5	3
558,5	2
559,5	4
560,5	4
561,5	3
562,5	3
563,5	2
564,5	3
565,5	4
566,5	2
567,5	3
568,5	3
569,5	3
570,5	4
571,5	3
572,5	4
573,5	1
574,5	3
575,5	8
576,5	1
577,5	4
578,5	1
579,5	4
580,5	5
581,5	2
582,5	4
583,5	2
584,5	5
585,5	4
586,5	3
587,5	2
588,5	1
589,5	5
590,5	5
591,5	3
592,5	2
593,5	2
594,5	2
595,5	5
596,5	5
597,5	5
598,5	4
599,5	4
600,5	2
601,5	3
602,5	3
603,5	1
605,5	3
607,5	2
608,5	3
609,5	8
610,5	1
611,5	1
612,5	2
614,5	4
615,5	6
616,5	1
617,5	5
618,5	4
619,5	2
620,5	5
621,5	5
622,5	5
623,5	4
624,5	1
625,5	4
626,5	6
627,5	2
628,5	3
629,5	6
630,5	4
631,5	3
632,5	6
634,5	3
635,5	6
636,5	4
637,5	5
638,5	5
639,5	1
640,5	4
641,5	3
642,5	1
643,5	2
644,5	1
645,5	2
646,5	3
647,5	4
648,5	1
649,5	3
650,5	1
651,5	1
652,5	1
653,5	1
654,5	4
655,5	1
656,5	5
657,5	1
658,5	1
659,5	1
661,5	1
662,5	3
663,5	1
666,5	3
667,5	2
668,5	1
669,5	1
670,5	2
671,5	1
673,5	1
675,5	2
676,5	2
679,5	3
681,5	1
683,5	1
684,5	2
685,5	1
686,5	2
688,5	1
691,5	1
692,5	3
693,5	1
694,5	1
695,5	1
697,5	1
699,5	2
702,5	3
704,5	2
707,5	1
708,5	1
710,5	1
711,5	1
712,5	2
