Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;199981.880000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;199981.880000;Hz
Stop;199981.880000;Hz
Ref Level;-17.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-86.462615966796875;-86.462615966796875
0.00093749999999999997;-86.040679931640625;-86.040679931640625
0.0018749999999999999;-85.823936462402344;-85.823936462402344
0.0028124999999999999;-85.790786743164063;-85.790786743164063
0.0037499999999999999;-85.873756408691406;-85.873756408691406
0.0046874999999999998;-86.155853271484375;-86.155853271484375
0.0056249999999999998;-86.644218444824219;-86.644218444824219
0.0065624999999999998;-87.339675903320313;-87.339675903320313
0.0074999999999999997;-88.227394104003906;-88.227394104003906
0.0084375000000000006;-89.239463806152344;-89.239463806152344
0.0093750000000000014;-90.213790893554687;-90.213790893554687
0.010312500000000002;-90.932228088378906;-90.932228088378906
0.011250000000000003;-91.148513793945313;-91.148513793945313
0.012187500000000004;-91.229911804199219;-91.229911804199219
0.013125000000000005;-90.934890747070313;-90.934890747070313
0.014062500000000006;-90.4931640625;-90.4931640625
0.015000000000000006;-89.999038696289063;-89.999038696289063
0.015937500000000007;-89.516952514648437;-89.516952514648437
0.016875000000000008;-89.090660095214844;-89.090660095214844
0.017812500000000009;-88.742156982421875;-88.742156982421875
0.01875000000000001;-88.48004150390625;-88.48004150390625
0.019687500000000011;-88.300308227539063;-88.300308227539063
0.020625000000000011;-88.188163757324219;-88.188163757324219
0.021562500000000012;-88.12213134765625;-88.12213134765625
0.022500000000000013;-88.072090148925781;-88.072090148925781
0.023437500000000014;-88.007797241210938;-88.007797241210938
0.024375000000000015;-87.900131225585938;-87.900131225585938
0.025312500000000016;-87.72705078125;-87.72705078125
0.026250000000000016;-87.478652954101563;-87.478652954101563
0.027187500000000017;-87.158218383789063;-87.158218383789063
0.028125000000000018;-86.781234741210937;-86.781234741210937
0.029062500000000019;-86.3719482421875;-86.3719482421875
0.03000000000000002;-85.960418701171875;-85.960418701171875
0.030937500000000021;-85.577110290527344;-85.577110290527344
0.031875000000000021;-85.250701904296875;-85.250701904296875
0.032812500000000022;-85.007575988769531;-85.007575988769531
0.033750000000000023;-84.870613098144531;-84.870613098144531
0.034687500000000024;-84.847908020019531;-84.847908020019531
0.035625000000000025;-84.905906677246094;-84.905906677246094
0.036562500000000026;-85.114250183105469;-85.114250183105469
0.037500000000000026;-85.484664916992188;-85.484664916992188
0.038437500000000027;-86.020133972167969;-86.020133972167969
0.039375000000000028;-86.700431823730469;-86.700431823730469
0.040312500000000029;-87.454421997070312;-87.454421997070312
0.04125000000000003;-87.816497802734375;-87.816497802734375
0.042187500000000031;-88.396797180175781;-88.396797180175781
0.043125000000000031;-88.665878295898437;-88.665878295898437
0.044062500000000032;-88.432815551757812;-88.432815551757812
0.045000000000000033;-87.96710205078125;-87.96710205078125
0.045937500000000034;-87.376579284667969;-87.376579284667969
0.046875000000000035;-86.755226135253906;-86.755226135253906
0.047812500000000036;-86.177558898925781;-86.177558898925781
0.048750000000000036;-85.69891357421875;-85.69891357421875
0.049687500000000037;-85.358558654785156;-85.358558654785156
0.050625000000000038;-85.187835693359375;-85.187835693359375
