Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;126533.750000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;126533.750000;Hz
Stop;126533.750000;Hz
Ref Level;-14.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-88.353950500488281;-88.353950500488281
0.00093749999999999997;-88.80718994140625;-88.80718994140625
0.0018749999999999999;-89.402824401855469;-89.402824401855469
0.0028124999999999999;-90.32318115234375;-90.32318115234375
0.0037499999999999999;-91.713088989257813;-91.713088989257813
0.0046874999999999998;-93.909202575683594;-93.909202575683594
0.0056249999999999998;-98.164253234863281;-98.164253234863281
0.0065624999999999998;-101.09105682373047;-101.09105682373047
0.0074999999999999997;-100.15509796142578;-100.15509796142578
0.0084375000000000006;-98.585578918457031;-98.585578918457031
0.0093750000000000014;-96.872116088867188;-96.872116088867188
0.010312500000000002;-95.224952697753906;-95.224952697753906
0.011250000000000003;-93.744705200195313;-93.744705200195313
0.012187500000000004;-92.477996826171875;-92.477996826171875
0.013125000000000005;-91.440765380859375;-91.440765380859375
0.014062500000000006;-90.633796691894531;-90.633796691894531
0.015000000000000006;-90.045433044433594;-90.045433044433594
0.015937500000000007;-89.657974243164063;-89.657974243164063
0.016875000000000008;-89.449905395507813;-89.449905395507813
0.017812500000000009;-89.398452758789063;-89.398452758789063
0.01875000000000001;-89.425590515136719;-89.425590515136719
0.019687500000000011;-89.573570251464844;-89.573570251464844
0.020625000000000011;-89.840133666992188;-89.840133666992188
0.021562500000000012;-90.218582153320312;-90.218582153320312
0.022500000000000013;-90.449836730957031;-90.449836730957031
0.023437500000000014;-91.002845764160156;-91.002845764160156
0.024375000000000015;-91.680572509765625;-91.680572509765625
0.025312500000000016;-92.486228942871094;-92.486228942871094
0.026250000000000016;-93.411331176757813;-93.411331176757813
0.027187500000000017;-94.413764953613281;-94.413764953613281
0.028125000000000018;-95.396728515625;-95.396728515625
0.029062500000000019;-96.208847045898438;-96.208847045898438
0.03000000000000002;-96.7109375;-96.7109375
0.030937500000000021;-96.806320190429688;-96.806320190429688
0.031875000000000021;-96.510368347167969;-96.510368347167969
0.032812500000000022;-96.022010803222656;-96.022010803222656
0.033750000000000023;-95.406951904296875;-95.406951904296875
0.034687500000000024;-94.71209716796875;-94.71209716796875
0.035625000000000025;-93.966827392578125;-93.966827392578125
0.036562500000000026;-93.194732666015625;-93.194732666015625
0.037500000000000026;-92.423347473144531;-92.423347473144531
0.038437500000000027;-91.6845703125;-91.6845703125
0.039375000000000028;-91.015731811523438;-91.015731811523438
0.040312500000000029;-90.458457946777344;-90.458457946777344
0.04125000000000003;-90.053962707519531;-90.053962707519531
0.042187500000000031;-89.84307861328125;-89.84307861328125
0.043125000000000031;-89.822319030761719;-89.822319030761719
0.044062500000000032;-89.97589111328125;-89.97589111328125
0.045000000000000033;-90.423500061035156;-90.423500061035156
0.045937500000000034;-91.206367492675781;-91.206367492675781
0.046875000000000035;-92.361572265625;-92.361572265625
0.047812500000000036;-93.885444641113281;-93.885444641113281
0.048750000000000036;-95.6055908203125;-95.6055908203125
0.049687500000000037;-97.036338806152344;-97.036338806152344
0.050625000000000038;-97.735145568847656;-97.735145568847656
