Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;199944.060000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;199944.060000;Hz
Stop;199944.060000;Hz
Ref Level;-17.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-90.462997436523438;-90.462997436523438
0.00093749999999999997;-90.716865539550781;-90.716865539550781
0.0018749999999999999;-91.132461547851562;-91.132461547851562
0.0028124999999999999;-91.667465209960937;-91.667465209960937
0.0037499999999999999;-92.146881103515625;-92.146881103515625
0.0046874999999999998;-92.353187561035156;-92.353187561035156
0.0056249999999999998;-92.087135314941406;-92.087135314941406
0.0065624999999999998;-91.601066589355469;-91.601066589355469
0.0074999999999999997;-91.012733459472656;-91.012733459472656
0.0084375000000000006;-90.417839050292969;-90.417839050292969
0.0093750000000000014;-89.8778076171875;-89.8778076171875
0.010312500000000002;-89.423599243164062;-89.423599243164062
0.011250000000000003;-89.060142517089844;-89.060142517089844
0.012187500000000004;-88.771575927734375;-88.771575927734375
0.013125000000000005;-88.528282165527344;-88.528282165527344
0.014062500000000006;-88.291618347167969;-88.291618347167969
0.015000000000000006;-88.027030944824219;-88.027030944824219
0.015937500000000007;-87.710777282714844;-87.710777282714844
0.016875000000000008;-87.334907531738281;-87.334907531738281
0.017812500000000009;-86.908638000488281;-86.908638000488281
0.01875000000000001;-86.454788208007812;-86.454788208007812
0.019687500000000011;-86.002914428710938;-86.002914428710938
0.020625000000000011;-85.589065551757813;-85.589065551757813
0.021562500000000012;-85.24591064453125;-85.24591064453125
0.022500000000000013;-85.003364562988281;-85.003364562988281
0.023437500000000014;-84.885940551757813;-84.885940551757813
0.024375000000000015;-84.879074096679688;-84.879074096679688
0.025312500000000016;-84.974601745605469;-84.974601745605469
0.026250000000000016;-85.211845397949219;-85.211845397949219
0.027187500000000017;-85.572555541992188;-85.572555541992188
0.028125000000000018;-86.015342712402344;-86.015342712402344
0.029062500000000019;-86.249542236328125;-86.249542236328125
0.03000000000000002;-86.697914123535156;-86.697914123535156
0.030937500000000021;-87.062515258789063;-87.062515258789063
0.031875000000000021;-87.291961669921875;-87.291961669921875
0.032812500000000022;-87.344314575195313;-87.344314575195313
0.033750000000000023;-87.204696655273438;-87.204696655273438
0.034687500000000024;-86.963569641113281;-86.963569641113281
0.035625000000000025;-86.66241455078125;-86.66241455078125
0.036562500000000026;-86.343589782714844;-86.343589782714844
0.037500000000000026;-86.049423217773438;-86.049423217773438
0.038437500000000027;-85.818008422851562;-85.818008422851562
0.039375000000000028;-85.687057495117188;-85.687057495117188
0.040312500000000029;-85.669395446777344;-85.669395446777344
0.04125000000000003;-85.749259948730469;-85.749259948730469
0.042187500000000031;-86.006256103515625;-86.006256103515625
0.043125000000000031;-86.461761474609375;-86.461761474609375
0.044062500000000032;-87.119796752929688;-87.119796752929688
0.045000000000000033;-87.949264526367188;-87.949264526367188
0.045937500000000034;-88.834808349609375;-88.834808349609375
0.046875000000000035;-89.571708679199219;-89.571708679199219
0.047812500000000036;-89.962982177734375;-89.962982177734375
0.048750000000000036;-89.815628051757812;-89.815628051757812
0.049687500000000037;-89.3570556640625;-89.3570556640625
0.050625000000000038;-88.75201416015625;-88.75201416015625
