Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;200014.370000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;200014.370000;Hz
Stop;200014.370000;Hz
Ref Level;-16.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-93.523704528808594;-93.523704528808594
0.00093749999999999997;-92.749130249023437;-92.749130249023437
0.0018749999999999999;-92.09881591796875;-92.09881591796875
0.0028124999999999999;-91.5079345703125;-91.5079345703125
0.0037499999999999999;-90.905265808105469;-90.905265808105469
0.0046874999999999998;-90.241455078125;-90.241455078125
0.0056249999999999998;-89.501571655273438;-89.501571655273438
0.0065624999999999998;-88.709571838378906;-88.709571838378906
0.0074999999999999997;-87.907501220703125;-87.907501220703125
0.0084375000000000006;-87.144485473632812;-87.144485473632812
0.0093750000000000014;-86.462615966796875;-86.462615966796875
0.010312500000000002;-85.889602661132813;-85.889602661132813
0.011250000000000003;-85.441032409667969;-85.441032409667969
0.012187500000000004;-85.118919372558594;-85.118919372558594
0.013125000000000005;-84.913131713867188;-84.913131713867188
0.014062500000000006;-84.808273315429687;-84.808273315429687
0.015000000000000006;-84.786666870117188;-84.786666870117188
0.015937500000000007;-84.802017211914063;-84.802017211914063
0.016875000000000008;-84.879623413085938;-84.879623413085938
0.017812500000000009;-85.01617431640625;-85.01617431640625
0.01875000000000001;-85.215866088867187;-85.215866088867187
0.019687500000000011;-85.490249633789063;-85.490249633789063
0.020625000000000011;-85.854476928710938;-85.854476928710938
0.021562500000000012;-86.329444885253906;-86.329444885253906
0.022500000000000013;-86.936088562011719;-86.936088562011719
0.023437500000000014;-87.292472839355469;-87.292472839355469
0.024375000000000015;-88.10919189453125;-88.10919189453125
0.025312500000000016;-89.019119262695312;-89.019119262695312
0.026250000000000016;-89.897018432617188;-89.897018432617188
0.027187500000000017;-90.550308227539063;-90.550308227539063
0.028125000000000018;-90.840576171875;-90.840576171875
0.029062500000000019;-90.627540588378906;-90.627540588378906
0.03000000000000002;-90.205604553222656;-90.205604553222656
0.030937500000000021;-89.695167541503906;-89.695167541503906
0.031875000000000021;-89.19366455078125;-89.19366455078125
0.032812500000000022;-88.773048400878906;-88.773048400878906
0.033750000000000023;-88.483558654785156;-88.483558654785156
0.034687500000000024;-88.35589599609375;-88.35589599609375
0.035625000000000025;-88.356300354003906;-88.356300354003906
0.036562500000000026;-88.478363037109375;-88.478363037109375
0.037500000000000026;-88.729034423828125;-88.729034423828125
0.038437500000000027;-89.038307189941406;-89.038307189941406
0.039375000000000028;-89.323554992675781;-89.323554992675781
0.040312500000000029;-89.52337646484375;-89.52337646484375
0.04125000000000003;-89.628532409667969;-89.628532409667969
0.042187500000000031;-89.676109313964844;-89.676109313964844
0.043125000000000031;-89.730522155761719;-89.730522155761719
0.044062500000000032;-89.862167358398437;-89.862167358398437
0.045000000000000033;-90.131706237792969;-90.131706237792969
0.045937500000000034;-90.588363647460938;-90.588363647460938
0.046875000000000035;-91.252365112304688;-91.252365112304688
0.047812500000000036;-92.09869384765625;-92.09869384765625
0.048750000000000036;-93.018218994140625;-93.018218994140625
0.049687500000000037;-93.824363708496094;-93.824363708496094
0.050625000000000038;-94.354209899902344;-94.354209899902344
