Type;FSVR-7;
Version;2.23 SP1;
Date;21.Sep 21;
Mode;ANALYZER;
Center Freq;126655.140000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;126655.140000;Hz
Stop;126655.140000;Hz
Ref Level;-14.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-94.583442687988281;-94.583442687988281
0.00093749999999999997;-93.729820251464844;-93.729820251464844
0.0018749999999999999;-92.599891662597656;-92.599891662597656
0.0028124999999999999;-91.312950134277344;-91.312950134277344
0.0037499999999999999;-89.983856201171875;-89.983856201171875
0.0046874999999999998;-88.706100463867188;-88.706100463867188
0.0056249999999999998;-87.545356750488281;-87.545356750488281
0.0065624999999999998;-86.546646118164062;-86.546646118164062
0.0074999999999999997;-85.732994079589844;-85.732994079589844
0.0084375000000000006;-85.107521057128906;-85.107521057128906
0.0093750000000000014;-84.652191162109375;-84.652191162109375
0.010312500000000002;-84.328620910644531;-84.328620910644531
0.011250000000000003;-84.0823974609375;-84.0823974609375
0.012187500000000004;-83.860923767089844;-83.860923767089844
0.013125000000000005;-83.746749877929688;-83.746749877929688
0.014062500000000006;-83.504226684570313;-83.504226684570313
0.015000000000000006;-83.252449035644531;-83.252449035644531
0.015937500000000007;-83.015487670898438;-83.015487670898438
0.016875000000000008;-82.825996398925781;-82.825996398925781
0.017812500000000009;-82.708999633789063;-82.708999633789063
0.01875000000000001;-82.676513671875;-82.676513671875
0.019687500000000011;-82.691688537597656;-82.691688537597656
0.020625000000000011;-82.775032043457031;-82.775032043457031
0.021562500000000012;-82.912361145019531;-82.912361145019531
0.022500000000000013;-83.08245849609375;-83.08245849609375
0.023437500000000014;-83.272987365722656;-83.272987365722656
0.024375000000000015;-83.487380981445313;-83.487380981445313
0.025312500000000016;-83.742866516113281;-83.742866516113281
0.026250000000000016;-84.062232971191406;-84.062232971191406
0.027187500000000017;-84.468154907226563;-84.468154907226563
0.028125000000000018;-84.977142333984375;-84.977142333984375
0.029062500000000019;-85.592910766601563;-85.592910766601563
0.03000000000000002;-86.3035888671875;-86.3035888671875
0.030937500000000021;-87.081214904785156;-87.081214904785156
0.031875000000000021;-87.885551452636719;-87.885551452636719
0.032812500000000022;-88.675025939941406;-88.675025939941406
0.033750000000000023;-89.420074462890625;-89.420074462890625
0.034687500000000024;-90.116439819335938;-90.116439819335938
0.035625000000000025;-90.787025451660156;-90.787025451660156
0.036562500000000026;-91.476875305175781;-91.476875305175781
0.037500000000000026;-92.248626708984375;-92.248626708984375
0.038437500000000027;-93.176582336425781;-93.176582336425781
0.039375000000000028;-94.343879699707031;-94.343879699707031
0.040312500000000029;-95.811782836914063;-95.811782836914063
0.04125000000000003;-97.4951171875;-97.4951171875
0.042187500000000031;-98.925704956054687;-98.925704956054687
0.043125000000000031;-99.374038696289063;-99.374038696289063
0.044062500000000032;-99.644523620605469;-99.644523620605469
0.045000000000000033;-99.286979675292969;-99.286979675292969
0.045937500000000034;-98.816810607910156;-98.816810607910156
0.046875000000000035;-98.432472229003906;-98.432472229003906
0.047812500000000036;-98.292396545410156;-98.292396545410156
0.048750000000000036;-98.359542846679688;-98.359542846679688
0.049687500000000037;-98.874824523925781;-98.874824523925781
0.050625000000000038;-99.997200012207031;-99.997200012207031
0.051562500000000039;-101.20268249511719;-101.20268249511719
0.05250000000000004;-100.80976867675781;-100.80976867675781
0.053437500000000041;-99.378150939941406;-99.378150939941406
0.054375000000000041;-97.57733154296875;-97.57733154296875
0.055312500000000042;-95.691246032714844;-95.691246032714844
0.056250000000000043;-93.886375427246094;-93.886375427246094
0.057187500000000044;-92.262077331542969;-92.262077331542969
0.058125000000000045;-90.876632690429688;-90.876632690429688
0.059062500000000046;-89.766281127929688;-89.766281127929688
0.060000000000000046;-88.949264526367188;-88.949264526367188
0.060937500000000047;-88.425239562988281;-88.425239562988281
0.061875000000000048;-88.160446166992188;-88.160446166992188
0.062812500000000049;-88.060981750488281;-88.060981750488281
0.063750000000000043;-87.968551635742187;-87.968551635742187
0.064687500000000037;-87.718887329101563;-87.718887329101563
0.065625000000000031;-87.240257263183594;-87.240257263183594
0.066562500000000024;-86.564506530761719;-86.564506530761719
0.067500000000000018;-85.774551391601563;-85.774551391601563
0.068437500000000012;-84.956184387207031;-84.956184387207031
0.069375000000000006;-84.176979064941406;-84.176979064941406
0.0703125;-83.481681823730469;-83.481681823730469
0.071249999999999994;-82.89776611328125;-82.89776611328125
0.072187499999999988;-82.651123046875;-82.651123046875
0.073124999999999982;-82.249168395996094;-82.249168395996094
0.074062499999999976;-81.965461730957031;-81.965461730957031
0.074999999999999969;-81.790054321289063;-81.790054321289063
0.075937499999999963;-81.711959838867188;-81.711959838867188
0.076874999999999957;-81.70623779296875;-81.70623779296875
0.077812499999999951;-81.756881713867187;-81.756881713867187
0.078749999999999945;-81.885940551757812;-81.885940551757812
0.079687499999999939;-82.094100952148437;-82.094100952148437
0.080624999999999933;-82.384101867675781;-82.384101867675781
0.081562499999999927;-82.762535095214844;-82.762535095214844
0.082499999999999921;-83.233840942382812;-83.233840942382812
0.083437499999999915;-83.795417785644531;-83.795417785644531
0.084374999999999908;-84.426872253417969;-84.426872253417969
0.085312499999999902;-85.078079223632812;-85.078079223632812
0.086249999999999896;-85.6595458984375;-85.6595458984375
0.08718749999999989;-86.066459655761719;-86.066459655761719
0.088124999999999884;-86.208206176757813;-86.208206176757813
0.089062499999999878;-86.002738952636719;-86.002738952636719
0.089999999999999872;-85.624862670898438;-85.624862670898438
0.090937499999999866;-85.147773742675781;-85.147773742675781
0.09187499999999986;-84.638076782226563;-84.638076782226563
0.092812499999999853;-84.149612426757813;-84.149612426757813
0.093749999999999847;-83.722640991210938;-83.722640991210938
0.094687499999999841;-83.386512756347656;-83.386512756347656
0.095624999999999835;-83.159652709960937;-83.159652709960937
0.096562499999999829;-83.053657531738281;-83.053657531738281
0.097499999999999823;-83.046798706054688;-83.046798706054688
0.098437499999999817;-83.125350952148438;-83.125350952148438
0.099374999999999811;-83.321418762207031;-83.321418762207031
0.1003124999999998;-83.622039794921875;-83.622039794921875
0.1012499999999998;-84.008049011230469;-84.008049011230469
0.10218749999999979;-84.456764221191406;-84.456764221191406
0.10312499999999979;-84.698410034179687;-84.698410034179687
0.10406249999999978;-85.204299926757813;-85.204299926757813
0.10499999999999977;-85.735191345214844;-85.735191345214844
0.10593749999999977;-86.294151306152344;-86.294151306152344
0.10687499999999976;-86.896575927734375;-86.896575927734375
0.10781249999999976;-87.566665649414062;-87.566665649414062
0.10874999999999975;-88.330116271972656;-88.330116271972656
0.10968749999999974;-89.20953369140625;-89.20953369140625
0.11062499999999974;-90.218170166015625;-90.218170166015625
0.11156249999999973;-91.340621948242188;-91.340621948242188
0.11249999999999973;-92.501640319824219;-92.501640319824219
0.11343749999999972;-93.511360168457031;-93.511360168457031
0.11437499999999971;-94.101470947265625;-94.101470947265625
0.11531249999999971;-93.895591735839844;-93.895591735839844
0.1162499999999997;-93.129386901855469;-93.129386901855469
0.11718749999999969;-92.038650512695312;-92.038650512695312
0.11812499999999969;-90.771415710449219;-90.771415710449219
0.11906249999999968;-89.444091796875;-89.444091796875
0.11999999999999968;-88.146080017089844;-88.146080017089844
0.12093749999999967;-86.942489624023437;-86.942489624023437
0.12187499999999966;-85.882331848144531;-85.882331848144531
0.12281249999999966;-85.001533508300781;-85.001533508300781
0.12374999999999965;-84.330276489257812;-84.330276489257812
0.12468749999999965;-83.894950866699219;-83.894950866699219
0.12562499999999965;-83.724288940429688;-83.724288940429688
0.12656249999999966;-83.74932861328125;-83.74932861328125
0.12749999999999967;-84.049446105957031;-84.049446105957031
0.12843749999999968;-84.745590209960938;-84.745590209960938
0.12937499999999968;-85.968101501464844;-85.968101501464844
0.13031249999999969;-88.032127380371094;-88.032127380371094
0.1312499999999997;-92.066207885742187;-92.066207885742187
0.13218749999999971;-94.185722351074219;-94.185722351074219
0.13312499999999972;-94.869026184082031;-94.869026184082031
0.13406249999999972;-93.659736633300781;-93.659736633300781
0.13499999999999973;-92.137130737304688;-92.137130737304688
0.13593749999999974;-90.61224365234375;-90.61224365234375
0.13687499999999975;-89.231063842773438;-89.231063842773438
0.13781249999999975;-88.061927795410156;-88.061927795410156
0.13874999999999976;-87.129341125488281;-87.129341125488281
0.13968749999999977;-86.434654235839844;-86.434654235839844
0.14062499999999978;-85.961830139160156;-85.961830139160156
0.14156249999999979;-85.688835144042969;-85.688835144042969
0.14249999999999979;-85.580780029296875;-85.580780029296875
0.1434374999999998;-85.577301025390625;-85.577301025390625
0.14437499999999981;-85.646484375;-85.646484375
0.14531249999999982;-85.784317016601563;-85.784317016601563
0.14624999999999982;-85.957817077636719;-85.957817077636719
0.14718749999999983;-86.146644592285156;-86.146644592285156
0.14812499999999984;-86.345947265625;-86.345947265625
0.14906249999999985;-86.564704895019531;-86.564704895019531
0.14999999999999986;-86.822479248046875;-86.822479248046875
0.15093749999999986;-87.138236999511719;-87.138236999511719
0.15187499999999987;-87.52447509765625;-87.52447509765625
0.15281249999999988;-87.967521667480469;-87.967521667480469
0.15374999999999989;-88.412765502929687;-88.412765502929687
0.15468749999999989;-88.769004821777344;-88.769004821777344
0.1556249999999999;-88.93865966796875;-88.93865966796875
0.15656249999999991;-88.763725280761719;-88.763725280761719
0.15749999999999992;-88.397560119628906;-88.397560119628906
0.15843749999999993;-87.906150817871094;-87.906150817871094
0.15937499999999993;-87.352981567382813;-87.352981567382813
0.16031249999999994;-86.790489196777344;-86.790489196777344
0.16124999999999995;-86.517662048339844;-86.517662048339844
0.16218749999999996;-86.006584167480469;-86.006584167480469
0.16312499999999996;-85.554595947265625;-85.554595947265625
0.16406249999999997;-85.169158935546875;-85.169158935546875
0.16499999999999998;-84.8504638671875;-84.8504638671875
0.16593749999999999;-84.593414306640625;-84.593414306640625
0.166875;-84.387252807617188;-84.387252807617188
0.1678125;-84.221809387207031;-84.221809387207031
0.16875000000000001;-84.086799621582031;-84.086799621582031
0.16968750000000002;-83.978408813476562;-83.978408813476562
0.17062500000000003;-83.89697265625;-83.89697265625
0.17156250000000003;-83.853256225585937;-83.853256225585937
0.17250000000000004;-83.851036071777344;-83.851036071777344
0.17343750000000005;-83.902267456054687;-83.902267456054687
0.17437500000000006;-84.056037902832031;-84.056037902832031
0.17531250000000007;-84.353950500488281;-84.353950500488281
0.17625000000000007;-84.848098754882813;-84.848098754882813
0.17718750000000008;-85.608665466308594;-85.608665466308594
0.17812500000000009;-86.736793518066406;-86.736793518066406
0.1790625000000001;-88.408355712890625;-88.408355712890625
0.1800000000000001;-91.013145446777344;-91.013145446777344
0.18093750000000011;-94.759429931640625;-94.759429931640625
0.18187500000000012;-96.519020080566406;-96.519020080566406
0.18281250000000013;-95.925140380859375;-95.925140380859375
0.18375000000000014;-94.808929443359375;-94.808929443359375
0.18468750000000014;-93.561134338378906;-93.561134338378906
0.18562500000000015;-92.324447631835938;-92.324447631835938
0.18656250000000016;-91.148193359375;-91.148193359375
0.18750000000000017;-90.035202026367188;-90.035202026367188
0.18843750000000017;-88.976539611816406;-88.976539611816406
0.18937500000000018;-87.967994689941406;-87.967994689941406
0.19031250000000019;-87.011116027832031;-87.011116027832031
0.1912500000000002;-86.555099487304688;-86.555099487304688
