Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;200002.180000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;200002.180000;Hz
Stop;200002.180000;Hz
Ref Level;-15.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-95.880699157714844;-95.880699157714844
0.00093749999999999997;-96.348709106445313;-96.348709106445313
0.0018749999999999999;-96.9498291015625;-96.9498291015625
0.0028124999999999999;-97.860069274902344;-97.860069274902344
0.0037499999999999999;-99.231719970703125;-99.231719970703125
0.0046874999999999998;-101.37030792236328;-101.37030792236328
0.0056249999999999998;-103.96298217773437;-103.96298217773437
0.0065624999999999998;-104.5333251953125;-104.5333251953125
0.0074999999999999997;-103.33877563476562;-103.33877563476562
0.0084375000000000006;-101.71529388427734;-101.71529388427734
0.0093750000000000014;-100.00205230712891;-100.00205230712891
0.010312500000000002;-98.384140014648438;-98.384140014648438
0.011250000000000003;-96.966514587402344;-96.966514587402344
0.012187500000000004;-95.805778503417969;-95.805778503417969
0.013125000000000005;-94.933631896972656;-94.933631896972656
0.014062500000000006;-94.367073059082031;-94.367073059082031
0.015000000000000006;-94.110771179199219;-94.110771179199219
0.015937500000000007;-94.0992431640625;-94.0992431640625
0.016875000000000008;-94.304092407226562;-94.304092407226562
0.017812500000000009;-94.793464660644531;-94.793464660644531
0.01875000000000001;-95.51898193359375;-95.51898193359375
0.019687500000000011;-96.381744384765625;-96.381744384765625
0.020625000000000011;-97.22845458984375;-97.22845458984375
0.021562500000000012;-97.903358459472656;-97.903358459472656
0.022500000000000013;-98.319374084472656;-98.319374084472656
0.023437500000000014;-98.427490234375;-98.427490234375
0.024375000000000015;-98.400138854980469;-98.400138854980469
0.025312500000000016;-98.121078491210937;-98.121078491210937
0.026250000000000016;-97.639572143554687;-97.639572143554687
0.027187500000000017;-96.95849609375;-96.95849609375
0.028125000000000018;-96.100967407226563;-96.100967407226563
0.029062500000000019;-95.119529724121094;-95.119529724121094
0.03000000000000002;-94.078460693359375;-94.078460693359375
0.030937500000000021;-93.046669006347656;-93.046669006347656
0.031875000000000021;-92.082435607910156;-92.082435607910156
0.032812500000000022;-91.230827331542969;-91.230827331542969
0.033750000000000023;-90.525131225585938;-90.525131225585938
0.034687500000000024;-89.982780456542969;-89.982780456542969
0.035625000000000025;-89.609611511230469;-89.609611511230469
0.036562500000000026;-89.402130126953125;-89.402130126953125
0.037500000000000026;-89.348060607910156;-89.348060607910156
0.038437500000000027;-89.373565673828125;-89.373565673828125
0.039375000000000028;-89.520072937011719;-89.520072937011719
0.040312500000000029;-89.784004211425781;-89.784004211425781
0.04125000000000003;-90.156166076660156;-90.156166076660156
0.042187500000000031;-90.631515502929688;-90.631515502929688
0.043125000000000031;-91.197990417480469;-91.197990417480469
0.044062500000000032;-91.827133178710938;-91.827133178710938
0.045000000000000033;-92.461715698242188;-92.461715698242188
0.045937500000000034;-93.019485473632813;-93.019485473632813
0.046875000000000035;-93.424079895019531;-93.424079895019531
0.047812500000000036;-93.635261535644531;-93.635261535644531
0.048750000000000036;-93.608139038085938;-93.608139038085938
0.049687500000000037;-93.411643981933594;-93.411643981933594
0.050625000000000038;-93.117424011230469;-93.117424011230469
