Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;126520.300000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;126520.300000;Hz
Stop;126520.300000;Hz
Ref Level;-16.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-82.298248291015625;-82.298248291015625
0.00093749999999999997;-82.43023681640625;-82.43023681640625
0.0018749999999999999;-82.525138854980469;-82.525138854980469
0.0028124999999999999;-82.604454040527344;-82.604454040527344
0.0037499999999999999;-82.663734436035156;-82.663734436035156
0.0046874999999999998;-82.711555480957031;-82.711555480957031
0.0056249999999999998;-82.768783569335938;-82.768783569335938
0.0065624999999999998;-82.861732482910156;-82.861732482910156
0.0074999999999999997;-83.011032104492188;-83.011032104492188
0.0084375000000000006;-83.227340698242188;-83.227340698242188
0.0093750000000000014;-83.496917724609375;-83.496917724609375
0.010312500000000002;-83.780586242675781;-83.780586242675781
0.011250000000000003;-84.018074035644531;-84.018074035644531
0.012187500000000004;-84.156440734863281;-84.156440734863281
0.013125000000000005;-84.1475830078125;-84.1475830078125
0.014062500000000006;-84.040702819824219;-84.040702819824219
0.015000000000000006;-83.916778564453125;-83.916778564453125
0.015937500000000007;-83.8355712890625;-83.8355712890625
0.016875000000000008;-83.827377319335938;-83.827377319335938
0.017812500000000009;-83.901527404785156;-83.901527404785156
0.01875000000000001;-84.121932983398438;-84.121932983398438
0.019687500000000011;-84.500045776367188;-84.500045776367188
0.020625000000000011;-85.021148681640625;-85.021148681640625
0.021562500000000012;-85.632408142089844;-85.632408142089844
0.022500000000000013;-86.237991333007813;-86.237991333007813
0.023437500000000014;-86.721939086914063;-86.721939086914063
0.024375000000000015;-87.001304626464844;-87.001304626464844
0.025312500000000016;-87.005325317382813;-87.005325317382813
0.026250000000000016;-86.7923583984375;-86.7923583984375
0.027187500000000017;-86.64422607421875;-86.64422607421875
0.028125000000000018;-86.299949645996094;-86.299949645996094
0.029062500000000019;-85.933425903320312;-85.933425903320312
0.03000000000000002;-85.5826416015625;-85.5826416015625
0.030937500000000021;-85.274566650390625;-85.274566650390625
0.031875000000000021;-85.026992797851563;-85.026992797851563
0.032812500000000022;-84.85400390625;-84.85400390625
0.033750000000000023;-84.765724182128906;-84.765724182128906
0.034687500000000024;-84.756446838378906;-84.756446838378906
0.035625000000000025;-84.813591003417969;-84.813591003417969
0.036562500000000026;-84.983200073242188;-84.983200073242188
0.037500000000000026;-85.27734375;-85.27734375
0.038437500000000027;-85.703987121582031;-85.703987121582031
0.039375000000000028;-86.258598327636719;-86.258598327636719
0.040312500000000029;-86.904617309570313;-86.904617309570313
0.04125000000000003;-87.554847717285156;-87.554847717285156
0.042187500000000031;-88.072807312011719;-88.072807312011719
0.043125000000000031;-88.338775634765625;-88.338775634765625
0.044062500000000032;-88.198974609375;-88.198974609375
0.045000000000000033;-87.821495056152344;-87.821495056152344
0.045937500000000034;-87.305732727050781;-87.305732727050781
0.046875000000000035;-86.720443725585938;-86.720443725585938
0.047812500000000036;-86.115646362304688;-86.115646362304688
0.048750000000000036;-85.526893615722656;-85.526893615722656
0.049687500000000037;-84.977882385253906;-84.977882385253906
0.050625000000000038;-84.489723205566406;-84.489723205566406
