Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;126464.990000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;126464.990000;Hz
Stop;126464.990000;Hz
Ref Level;-16.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-88.772132873535156;-88.772132873535156
0.00093749999999999997;-88.372550964355469;-88.372550964355469
0.0018749999999999999;-88.189323425292969;-88.189323425292969
0.0028124999999999999;-88.185111999511719;-88.185111999511719
0.0037499999999999999;-88.355361938476562;-88.355361938476562
0.0046874999999999998;-88.52740478515625;-88.52740478515625
0.0056249999999999998;-89.020027160644531;-89.020027160644531
0.0065624999999999998;-89.639091491699219;-89.639091491699219
0.0074999999999999997;-90.234367370605469;-90.234367370605469
0.0084375000000000006;-90.633369445800781;-90.633369445800781
0.0093750000000000014;-90.672203063964844;-90.672203063964844
0.010312500000000002;-90.36273193359375;-90.36273193359375
0.011250000000000003;-89.881278991699219;-89.881278991699219
0.012187500000000004;-89.317169189453125;-89.317169189453125
0.013125000000000005;-88.746353149414063;-88.746353149414063
0.014062500000000006;-88.228546142578125;-88.228546142578125
0.015000000000000006;-87.810470581054688;-87.810470581054688
0.015937500000000007;-87.5267333984375;-87.5267333984375
0.016875000000000008;-87.402198791503906;-87.402198791503906
0.017812500000000009;-87.403831481933594;-87.403831481933594
0.01875000000000001;-87.53814697265625;-87.53814697265625
0.019687500000000011;-87.838516235351563;-87.838516235351563
0.020625000000000011;-88.274810791015625;-88.274810791015625
0.021562500000000012;-88.791999816894531;-88.791999816894531
0.022500000000000013;-89.311637878417969;-89.311637878417969
0.023437500000000014;-89.747848510742187;-89.747848510742187
0.024375000000000015;-90.032508850097656;-90.032508850097656
0.025312500000000016;-90.112205505371094;-90.112205505371094
0.026250000000000016;-89.95562744140625;-89.95562744140625
0.027187500000000017;-89.682952880859375;-89.682952880859375
0.028125000000000018;-89.353225708007813;-89.353225708007813
0.029062500000000019;-89.027252197265625;-89.027252197265625
0.03000000000000002;-88.75897216796875;-88.75897216796875
0.030937500000000021;-88.589279174804688;-88.589279174804688
0.031875000000000021;-88.540130615234375;-88.540130615234375
0.032812500000000022;-88.559295654296875;-88.559295654296875
0.033750000000000023;-88.661170959472656;-88.661170959472656
0.034687500000000024;-88.726158142089844;-88.726158142089844
0.035625000000000025;-88.821212768554688;-88.821212768554688
0.036562500000000026;-88.7117919921875;-88.7117919921875
0.037500000000000026;-88.414436340332031;-88.414436340332031
0.038437500000000027;-87.971725463867188;-87.971725463867188
0.039375000000000028;-87.445075988769531;-87.445075988769531
0.040312500000000029;-86.903495788574219;-86.903495788574219
0.04125000000000003;-86.405914306640625;-86.405914306640625
0.042187500000000031;-85.9986572265625;-85.9986572265625
0.043125000000000031;-85.716964721679688;-85.716964721679688
0.044062500000000032;-85.583732604980469;-85.583732604980469
0.045000000000000033;-85.578033447265625;-85.578033447265625
0.045937500000000034;-85.694747924804688;-85.694747924804688
0.046875000000000035;-85.983940124511719;-85.983940124511719
0.047812500000000036;-86.444465637207031;-86.444465637207031
0.048750000000000036;-87.060356140136719;-87.060356140136719
0.049687500000000037;-87.802642822265625;-87.802642822265625
0.050625000000000038;-88.608726501464844;-88.608726501464844
