ADC Channel - Charge distribution	Counts - Charge distribution
-58,5	1
-57,5	1
-55,5	1
-54,5	2
-52,5	5
-51,5	5
-50,5	2
-49,5	2
-48,5	5
-47,5	7
-46,5	10
-45,5	18
-44,5	14
-43,5	25
-42,5	21
-41,5	28
-40,5	43
-39,5	50
-38,5	60
-37,5	80
-36,5	111
-35,5	111
-34,5	152
-33,5	178
-32,5	246
-31,5	285
-30,5	357
-29,5	385
-28,5	460
-27,5	552
-26,5	675
-25,5	726
-24,5	913
-23,5	1063
-22,5	1188
-21,5	1365
-20,5	1669
-19,5	1872
-18,5	2124
-17,5	2423
-16,5	2816
-15,5	3217
-14,5	3553
-13,5	4004
-12,5	4427
-11,5	4876
-10,5	5518
-9,5	6113
-8,5	6576
-7,5	7202
-6,5	7739
-5,5	8341
-4,5	8933
-3,5	9310
-2,5	9610
-1,5	9989
-0,5	10140
0,5	10455
1,5	10316
2,5	10325
3,5	10200
4,5	9989
5,5	9567
6,5	9270
7,5	8691
8,5	8212
9,5	7767
10,5	7258
11,5	6617
12,5	5979
13,5	5439
14,5	4975
15,5	4484
16,5	3924
17,5	3576
18,5	3152
19,5	2687
20,5	2411
21,5	2138
22,5	1752
23,5	1541
24,5	1355
25,5	1228
26,5	950
27,5	879
28,5	759
29,5	699
30,5	579
31,5	503
32,5	406
33,5	386
34,5	330
35,5	304
36,5	252
37,5	250
38,5	210
39,5	204
40,5	166
41,5	174
42,5	134
43,5	153
44,5	138
45,5	135
46,5	135
47,5	134
48,5	120
49,5	109
50,5	117
51,5	151
52,5	112
53,5	101
54,5	133
55,5	112
56,5	99
57,5	115
58,5	116
59,5	113
60,5	108
61,5	131
62,5	109
63,5	110
64,5	105
65,5	105
66,5	94
67,5	91
68,5	117
69,5	130
70,5	122
71,5	96
72,5	127
73,5	113
74,5	117
75,5	99
76,5	100
77,5	89
78,5	97
79,5	131
80,5	115
81,5	135
82,5	125
83,5	129
84,5	137
85,5	162
86,5	158
87,5	157
88,5	153
89,5	177
90,5	230
91,5	213
92,5	265
93,5	287
94,5	325
95,5	366
96,5	410
97,5	488
98,5	528
99,5	638
100,5	704
101,5	806
102,5	896
103,5	1083
104,5	1330
105,5	1460
106,5	1646
107,5	1891
108,5	2157
109,5	2468
110,5	2744
111,5	3092
112,5	3410
113,5	4039
114,5	4384
115,5	4941
116,5	5461
117,5	5921
118,5	6378
119,5	7027
120,5	7642
121,5	8118
122,5	8533
123,5	8927
124,5	9443
125,5	9965
126,5	10230
127,5	10442
128,5	10835
129,5	10792
130,5	10731
131,5	10726
132,5	10603
133,5	10551
134,5	10203
135,5	9625
136,5	9281
137,5	8913
138,5	8564
139,5	8066
140,5	7438
141,5	6867
142,5	6513
143,5	6055
144,5	5404
145,5	5091
146,5	4482
147,5	4186
148,5	3705
149,5	3204
150,5	2945
151,5	2609
152,5	2463
153,5	2090
154,5	1830
155,5	1699
156,5	1510
157,5	1272
158,5	1191
159,5	1073
160,5	942
161,5	781
162,5	778
163,5	738
164,5	624
165,5	593
166,5	545
167,5	490
168,5	455
169,5	424
170,5	409
171,5	394
172,5	342
173,5	392
174,5	328
175,5	362
176,5	309
177,5	313
178,5	328
179,5	289
180,5	306
181,5	295
182,5	304
183,5	294
184,5	292
185,5	296
186,5	291
187,5	300
188,5	275
189,5	286
190,5	280
191,5	264
192,5	258
193,5	239
194,5	251
195,5	254
196,5	270
197,5	230
198,5	258
199,5	249
200,5	284
201,5	231
202,5	246
203,5	233
204,5	264
205,5	253
206,5	235
207,5	222
208,5	243
209,5	265
210,5	258
211,5	241
212,5	245
213,5	251
214,5	251
215,5	263
216,5	232
217,5	263
218,5	275
219,5	302
220,5	253
221,5	314
222,5	313
223,5	373
224,5	338
225,5	417
226,5	386
227,5	491
228,5	515
229,5	515
230,5	642
231,5	700
232,5	726
233,5	860
234,5	982
235,5	1065
236,5	1198
237,5	1328
238,5	1476
239,5	1676
240,5	1863
241,5	2061
242,5	2332
243,5	2460
244,5	2717
245,5	3009
246,5	3204
247,5	3566
248,5	3710
249,5	4018
250,5	4229
251,5	4490
252,5	4882
253,5	5052
254,5	5296
255,5	5345
256,5	5635
257,5	5729
258,5	6021
259,5	5998
260,5	5868
261,5	5844
262,5	5843
263,5	5929
264,5	5808
265,5	5548
266,5	5229
267,5	5175
268,5	4884
269,5	4624
270,5	4578
271,5	4265
272,5	4038
273,5	3717
274,5	3412
275,5	3189
276,5	2882
277,5	2748
278,5	2452
279,5	2225
280,5	2138
281,5	1925
282,5	1677
283,5	1526
284,5	1416
