ADC Channel - Charge distribution	Counts - Charge distribution
-59,5	1
-56,5	1
-52,5	1
-50,5	3
-49,5	6
-48,5	9
-47,5	8
-46,5	9
-45,5	9
-44,5	18
-43,5	21
-42,5	23
-41,5	30
-40,5	44
-39,5	41
-38,5	49
-37,5	98
-36,5	89
-35,5	121
-34,5	153
-33,5	169
-32,5	207
-31,5	256
-30,5	306
-29,5	388
-28,5	468
-27,5	560
-26,5	676
-25,5	811
-24,5	912
-23,5	1039
-22,5	1225
-21,5	1452
-20,5	1694
-19,5	1948
-18,5	2264
-17,5	2575
-16,5	2981
-15,5	3425
-14,5	3767
-13,5	4331
-12,5	4854
-11,5	5450
-10,5	6260
-9,5	6679
-8,5	7369
-7,5	8115
-6,5	8666
-5,5	9242
-4,5	9819
-3,5	10267
-2,5	10792
-1,5	11026
-0,5	11289
0,5	11524
1,5	11496
2,5	11424
3,5	11163
4,5	10908
5,5	10321
6,5	10199
7,5	9684
8,5	8945
9,5	8318
10,5	7782
11,5	7158
12,5	6407
13,5	5842
14,5	5263
15,5	4744
16,5	4242
17,5	3642
18,5	3322
19,5	2895
20,5	2469
21,5	2107
22,5	1820
23,5	1623
24,5	1448
25,5	1230
26,5	1056
27,5	875
28,5	726
29,5	670
30,5	584
31,5	479
32,5	410
33,5	402
34,5	355
35,5	269
36,5	269
37,5	232
38,5	197
39,5	207
40,5	182
41,5	154
42,5	139
43,5	165
44,5	140
45,5	149
46,5	136
47,5	154
48,5	149
49,5	130
50,5	127
51,5	147
52,5	118
53,5	142
54,5	116
55,5	124
56,5	139
57,5	114
58,5	123
59,5	124
60,5	127
61,5	143
62,5	150
63,5	119
64,5	150
65,5	139
66,5	159
67,5	186
68,5	210
69,5	219
70,5	221
71,5	230
72,5	268
73,5	310
74,5	315
75,5	389
76,5	414
77,5	472
78,5	622
79,5	655
80,5	762
81,5	887
82,5	1026
83,5	1210
84,5	1432
85,5	1593
86,5	1819
87,5	2116
88,5	2357
89,5	2733
90,5	3073
91,5	3450
92,5	3785
93,5	4392
94,5	4844
95,5	5351
96,5	5829
97,5	6468
98,5	6996
99,5	7441
100,5	8285
101,5	8883
102,5	9115
103,5	9836
104,5	10461
105,5	10746
106,5	11124
107,5	11174
108,5	11213
109,5	11425
110,5	11511
111,5	11215
112,5	11191
113,5	10839
114,5	10584
115,5	10211
116,5	9661
117,5	9129
118,5	8561
119,5	8067
120,5	7355
121,5	6763
122,5	6474
123,5	5820
124,5	5240
125,5	4778
126,5	4241
127,5	3854
128,5	3438
129,5	3109
130,5	2647
131,5	2454
132,5	2230
133,5	1819
134,5	1632
135,5	1437
136,5	1364
137,5	1163
138,5	1032
139,5	961
140,5	757
141,5	767
142,5	656
143,5	601
144,5	598
145,5	529
146,5	477
147,5	417
148,5	402
149,5	371
150,5	348
151,5	316
152,5	317
153,5	311
154,5	300
155,5	299
156,5	298
157,5	308
158,5	267
159,5	270
160,5	285
161,5	264
162,5	285
163,5	252
164,5	249
165,5	260
166,5	250
167,5	270
168,5	259
169,5	250
170,5	270
171,5	233
172,5	277
173,5	221
174,5	284
175,5	255
176,5	256
177,5	280
178,5	276
179,5	312
180,5	306
181,5	302
182,5	299
183,5	347
184,5	383
185,5	437
186,5	459
187,5	488
188,5	533
189,5	596
190,5	685
191,5	735
192,5	871
193,5	929
194,5	1004
195,5	1226
196,5	1265
197,5	1447
198,5	1676
199,5	1761
200,5	1986
